source_path	destination_path	source_sha256	destination_sha256	status
alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/AndroidAlpineRuntimeManager.kt	alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/AndroidAlpineRuntimeManager.kt	868457bfbaccf4a888a9b54b488be730adce833fbf22484adc5cf6e1f44e4408	868457bfbaccf4a888a9b54b488be730adce833fbf22484adc5cf6e1f44e4408	imported
alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/AndroidDnsConfigurator.kt	alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/AndroidDnsConfigurator.kt	c50f13487dba402fbe9a1bd2e7991dd918f6c50864e6168280f7d93be2875f88	c50f13487dba402fbe9a1bd2e7991dd918f6c50864e6168280f7d93be2875f88	imported
alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/NativePtyBridge.kt	alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/NativePtyBridge.kt	f9794a7d2073334d109ee2061c5a0e383cff3e91d454fa9ccb98b07b3639c20f	f9794a7d2073334d109ee2061c5a0e383cff3e91d454fa9ccb98b07b3639c20f	imported
alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/ProotProcessLauncher.kt	alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/ProotProcessLauncher.kt	981aec182b3d52a9b7e38554794f5a2bd021057bf11a5675bebb8b5aee4eaf60	981aec182b3d52a9b7e38554794f5a2bd021057bf11a5675bebb8b5aee4eaf60	imported
alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/RuntimeArtifactInstaller.kt	alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/RuntimeArtifactInstaller.kt	b0ac3c6679ce469930fd22f622fc48b713dd0a724f2d5cfe8a16a93be4a28af7	b0ac3c6679ce469930fd22f622fc48b713dd0a724f2d5cfe8a16a93be4a28af7	imported
alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/TarGzExtractor.kt	alpine-runtime-android/src/main/kotlin/dev/alpine/runtime/android/internal/TarGzExtractor.kt	ab1a0a1db0054497b2a6932e4b65d7427678019765cd849805f2fc20d4fcddc3	ab1a0a1db0054497b2a6932e4b65d7427678019765cd849805f2fc20d4fcddc3	imported
alpine-runtime-android/src/test/kotlin/dev/alpine/runtime/android/AndroidFactoryBoundaryTest.kt	alpine-runtime-android/src/test/kotlin/dev/alpine/runtime/android/AndroidFactoryBoundaryTest.kt	94393d3f569d183f3d9d2aa15d22e0135f4cf37f7aebe3c2ab832502f19d2248	94393d3f569d183f3d9d2aa15d22e0135f4cf37f7aebe3c2ab832502f19d2248	imported
alpine-runtime-android/src/test/kotlin/dev/alpine/runtime/android/RuntimeArtifactProvidersTest.kt	alpine-runtime-android/src/test/kotlin/dev/alpine/runtime/android/RuntimeArtifactProvidersTest.kt	81c941999c98c36a475033b2a0869cb6dcf7ea9eaa68d5342b5ca3a9a8f86604	81c941999c98c36a475033b2a0869cb6dcf7ea9eaa68d5342b5ca3a9a8f86604	imported
alpine-runtime-android/src/test/kotlin/dev/alpine/runtime/android/internal/ProotProcessLauncherTest.kt	alpine-runtime-android/src/test/kotlin/dev/alpine/runtime/android/internal/ProotProcessLauncherTest.kt	395003582432ce61a8010bfdeca7e263b20db997f3cf60cbb6e2f2ab178ee611	395003582432ce61a8010bfdeca7e263b20db997f3cf60cbb6e2f2ab178ee611	imported
alpine-runtime-android/src/test/kotlin/dev/alpine/runtime/android/internal/RuntimeArtifactInstallerTest.kt	alpine-runtime-android/src/test/kotlin/dev/alpine/runtime/android/internal/RuntimeArtifactInstallerTest.kt	affde5e65b3daaa396f948c45e7b314b37bcf14b8fcf8a21ff9f94c98daf8fbb	affde5e65b3daaa396f948c45e7b314b37bcf14b8fcf8a21ff9f94c98daf8fbb	imported
alpine-runtime-host/build.gradle.kts	alpine-runtime-host/build.gradle.kts	baf059a45e19a8ab018358f1c6f09a5e7d0e9cf2acf4996a24ee396f9c375206	baf059a45e19a8ab018358f1c6f09a5e7d0e9cf2acf4996a24ee396f9c375206	imported
alpine-runtime-host/src/main/kotlin/dev/alpine/runtime/host/RuntimeAnsiTerminalScreen.kt	alpine-runtime-host/src/main/kotlin/dev/alpine/runtime/host/RuntimeAnsiTerminalScreen.kt	58a526c1a3a97cf0fe300c1fe26cf4f67b172a7ac09b7a82284bb7f2c9910fe8	58a526c1a3a97cf0fe300c1fe26cf4f67b172a7ac09b7a82284bb7f2c9910fe8	imported
alpine-runtime-host/src/main/kotlin/dev/alpine/runtime/host/RuntimeHostController.kt	alpine-runtime-host/src/main/kotlin/dev/alpine/runtime/host/RuntimeHostController.kt	64a6ddb928d29ae3017741350cd0926cfc58aafc07f9082021001bcd1b3c3871	64a6ddb928d29ae3017741350cd0926cfc58aafc07f9082021001bcd1b3c3871	imported
